date,name,team,opp,fpts,mp,fppm,home,w,w_pts,l,l_pts,injury,starter,fg,fga,fg_perc,3p,3pa,3p_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus,ts,efg,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perc,usg,ortg,drtg,bpm,total_pts,pts_diff,team_fpts,matchup,mu_fpts
2023-02-24,AJ Griffin,ATL,CLE,13.2,17.633333333333333,0.7485822306238185,1,ATL,136,CLE,119,0,0,4,7,0.5710000000000001,1,2,0.5,0,0,0.0,1,0,1,2,0,0,0,2,9,3.0,0.643,0.643,0.286,0.0,0.091,0.0,0.035,0.139,0.0,0.0,0.0,0.175,143,128,-1.0,255,17,259.4,"('ATL', 'CLE')",484.4
2023-02-24,Bogdan Bogdanovic,ATL,CLE,15.4,22.38333333333333,0.6880119136262101,1,ATL,136,CLE,119,0,0,4,5,0.8,2,3,0.667,0,0,0.0,0,2,2,2,0,1,3,1,10,8.0,1.0,1.0,0.6,0.0,0.0,0.091,0.0559999999999999,0.104,0.0,0.04,0.375,0.157,115,123,1.2,255,17,259.4,"('ATL', 'CLE')",484.4
2023-02-24,De'Andre Hunter,ATL,CLE,15.6,28.816666666666663,0.5413533834586466,1,ATL,136,CLE,119,0,1,3,8,0.375,1,2,0.5,2,2,1.0,0,3,3,0,1,0,0,4,9,6.0,0.507,0.438,0.25,0.25,0.0,0.106,0.065,0.0,0.017,0.0,0.0,0.136,105,121,-7.7,255,17,259.4,"('ATL', 'CLE')",484.4
2023-02-24,Jalen Johnson,ATL,CLE,18.3,22.4,0.8169642857142858,1,ATL,136,CLE,119,0,0,3,4,0.75,0,0,0.0,1,1,1.0,0,4,4,1,1,1,1,3,7,13.0,0.7879999999999999,0.75,0.0,0.25,0.0,0.182,0.111,0.049,0.021,0.04,0.184,0.107,130,115,0.4,255,17,259.4,"('ATL', 'CLE')",484.4
2023-02-24,Clint Capela,ATL,CLE,25.8,20.933333333333334,1.2324840764331209,1,ATL,136,CLE,119,0,1,5,7,0.7140000000000001,0,0,0.0,0,0,0.0,0,4,4,2,0,3,1,4,10,8.0,0.7140000000000001,0.7140000000000001,0.0,0.0,0.0,0.195,0.119,0.119,0.0,0.13,0.125,0.168,128,113,2.4,255,17,259.4,"('ATL', 'CLE')",484.4
2023-02-24,Saddiq Bey,ATL,CLE,27.3,28.05,0.9732620320855616,1,ATL,136,CLE,119,0,1,6,9,0.667,5,8,0.625,2,2,1.0,2,2,4,1,1,0,1,0,19,20.0,0.962,0.944,0.889,0.222,0.114,0.073,0.089,0.043,0.017,0.0,0.092,0.171,170,122,10.7,255,17,259.4,"('ATL', 'CLE')",484.4
2023-02-24,Onyeka Okongwu,ATL,CLE,43.2,25.016666666666666,1.7268487674883413,1,ATL,136,CLE,119,0,0,6,7,0.857,0,0,0.0,1,2,0.5,1,10,11,2,2,3,1,2,13,15.0,0.825,0.857,0.0,0.286,0.064,0.408,0.2739999999999999,0.1,0.038,0.109,0.113,0.156,151,100,11.8,255,17,259.4,"('ATL', 'CLE')",484.4
2023-02-24,Dejounte Murray,ATL,CLE,47.8,34.583333333333336,1.382168674698795,1,ATL,136,CLE,119,0,1,11,19,0.579,2,6,0.333,1,1,1.0,1,8,9,8,1,0,3,1,25,18.0,0.643,0.632,0.316,0.053,0.046,0.236,0.162,0.32,0.0139999999999999,0.0,0.134,0.285,126,118,3.0,255,17,259.4,"('ATL', 'CLE')",484.4
2023-02-24,Aaron Holiday,ATL,CLE,-1.0,1.7,-0.5882352941176471,1,ATL,136,CLE,119,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.518,0,128,-63.1,255,17,259.4,"('ATL', 'CLE')",484.4
2023-02-24,Trae Young,ATL,CLE,52.1,32.333333333333336,1.6113402061855668,1,ATL,136,CLE,119,0,1,8,18,0.444,4,7,0.5710000000000001,14,15,0.933,0,3,3,9,1,0,2,3,34,16.0,0.691,0.556,0.389,0.833,0.0,0.095,0.0579999999999999,0.35,0.015,0.0,0.075,0.362,145,122,7.4,255,17,259.4,"('ATL', 'CLE')",484.4
2023-02-26,AJ Griffin,ATL,BKN,4.4,12.6,0.3492063492063492,1,ATL,129,BKN,127,0,0,0,3,0.0,0,2,0.0,2,2,1.0,0,2,2,0,0,0,0,1,2,9.0,0.258,0.0,0.667,0.667,0.0,0.195,0.092,0.0,0.0,0.0,0.0,0.126,66,130,-14.5,256,2,226.2,"('ATL', 'BKN')",472.6
2023-02-26,Saddiq Bey,ATL,BKN,12.8,31.716666666666665,0.4035733053074094,1,ATL,129,BKN,127,0,0,2,6,0.333,2,3,0.667,0,0,0.0,0,4,4,0,1,0,1,4,6,13.0,0.5,0.5,0.5,0.0,0.0,0.155,0.073,0.0,0.015,0.0,0.143,0.09,91,127,-7.2,256,2,226.2,"('ATL', 'BKN')",472.6
2023-02-26,Jalen Johnson,ATL,BKN,6.9,4.9,1.4081632653061225,1,ATL,129,BKN,127,0,0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,1,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.502,0.236,0.218,0.0,0.204,0.0,0.083,68,109,4.9,256,2,226.2,"('ATL', 'BKN')",472.6
2023-02-26,Bogdan Bogdanovic,ATL,BKN,40.7,28.28333333333333,1.4390100176782556,1,ATL,129,BKN,127,0,0,7,11,0.636,5,8,0.625,3,3,1.0,0,6,6,3,3,0,2,1,22,28.0,0.893,0.8640000000000001,0.727,0.273,0.0,0.261,0.123,0.154,0.05,0.0,0.14,0.207,158,117,16.0,256,2,226.2,"('ATL', 'BKN')",472.6
2023-02-26,Onyeka Okongwu,ATL,BKN,18.9,28.4,0.6654929577464789,1,ATL,129,BKN,127,0,0,3,5,0.6,0,0,0.0,4,4,1.0,3,4,7,1,0,0,1,5,10,16.0,0.74,0.6,0.0,0.8,0.115,0.173,0.143,0.042,0.0,0.0,0.129,0.1119999999999999,152,130,-3.8,256,2,226.2,"('ATL', 'BKN')",472.6
2023-02-26,De'Andre Hunter,ATL,BKN,16.1,22.38333333333333,0.7192851824274015,1,ATL,129,BKN,127,0,1,2,3,0.667,2,2,1.0,3,4,0.75,1,2,3,3,0,0,1,4,9,-17.0,0.945,1.0,0.667,1.3330000000000002,0.049,0.11,0.078,0.158,0.0,0.0,0.174,0.105,170,131,3.4,256,2,226.2,"('ATL', 'BKN')",472.6
2023-02-26,John Collins,ATL,BKN,13.8,25.766666666666666,0.535575679172057,1,ATL,129,BKN,127,0,1,5,8,0.625,2,3,0.667,0,0,0.0,1,3,4,0,0,0,3,1,12,-16.0,0.75,0.75,0.375,0.0,0.042,0.143,0.09,0.0,0.0,0.0,0.273,0.175,106,130,-4.5,256,2,226.2,"('ATL', 'BKN')",472.6
2023-02-26,Dejounte Murray,ATL,BKN,38.6,32.666666666666664,1.1816326530612251,1,ATL,129,BKN,127,0,1,12,21,0.5710000000000001,4,7,0.5710000000000001,0,0,0.0,1,2,3,4,1,0,2,0,28,-6.0,0.667,0.667,0.333,0.0,0.033,0.075,0.053,0.215,0.015,0.0,0.087,0.288,133,128,6.3,256,2,226.2,"('ATL', 'BKN')",472.6
